feature,clinical_domain,split,n_survivors,n_deaths,survivor_mean,death_mean,survivor_median,death_median,smd_death_minus_survivor,t_stat,p_value,fdr_bh,abs_smd,direction,differential_supported
Na_count,Metabolic,train,6878,1122,3.282058738005234,4.204099821746881,3.0,4.0,0.465554618970517,13.347054891838951,2.882712899478856e-38,4.2520015267313125e-37,0.465554618970517,higher_in_deaths,True
Glucose_count,Metabolic,train,6878,1122,3.154114568188427,3.9937611408199643,3.0,3.0,0.4448650820173861,12.809266564071317,1.5035315845232884e-35,2.087255611455859e-34,0.4448650820173861,higher_in_deaths,True
Lactate_missing,Metabolic,train,6878,1122,0.47564635352201307,0.2896613190730838,0.0,0.0,-0.389920075380479,-12.545873763952569,1.6737297069324003e-34,2.1944456157558136e-33,0.389920075380479,higher_in_survivors,True
Urine_mean,Renal,train,6878,1122,140.40125337030327,95.1477110391853,120.12695434646653,76.37465277777778,-0.4121598420525257,-12.543575233216693,2.3400436022003133e-34,2.906580474311968e-33,0.4121598420525257,higher_in_survivors,True
static_Age,Static / demographic,train,6878,1122,63.51482989241058,70.03832442067736,66.0,74.0,0.3895007421271482,12.446298018267226,5.440840990010948e-34,6.420192368212919e-33,0.3895007421271482,higher_in_deaths,True
K_count,Metabolic,train,6878,1122,3.5196277987787146,4.366310160427807,3.0,4.0,0.4254909860984612,12.405449594226667,1.3900932858585962e-33,1.5622000736315652e-32,0.4254909860984612,higher_in_deaths,True
HCO3_min,Metabolic,train,6878,1122,22.1383571570975,20.105049847624528,22.0,20.0,-0.4145924629220574,-11.935649259853703,2.6525574381251335e-31,2.845470706352416e-30,0.4145924629220574,higher_in_survivors,True
PaCO2_missing,Respiratory,train,6878,1122,0.2630774656165511,0.1319073083778966,0.0,0.0,-0.3341239403919275,-11.491152579402568,1.5210805908875756e-29,1.560760954128121e-28,0.3341239403919275,higher_in_survivors,True
PaO2_missing,Respiratory,train,6878,1122,0.2630776475828866,0.13279857397504458,0.0,0.0,-0.3315015966359014,-11.387572011318003,4.6525316129042886e-29,4.574989419355884e-28,0.3315015966359014,higher_in_survivors,True
HCO3_mean,Metabolic,train,6878,1122,23.909910436448484,22.182357361468597,23.8,22.0,-0.3935009288413536,-11.340343513104377,1.5076393580400605e-28,1.423211553989817e-27,0.3935009288413536,higher_in_survivors,True
HCO3_median,Metabolic,train,6878,1122,23.91548611051787,22.179911193085328,24.0,22.0,-0.39018130972665027,-11.244245965259838,4.0984240263807215e-28,3.720107962407117e-27,0.39018130972665027,higher_in_survivors,True
pH_missing,Metabolic,train,6878,1122,0.2579822262562137,0.13101604278074866,0.0,0.0,-0.32505127714189563,-11.163219667403093,5.036158300171428e-28,4.4019754031128036e-27,0.32505127714189563,higher_in_survivors,True
HCO3_count,Metabolic,train,6878,1122,3.3008141901715615,4.03030303030303,3.0,4.0,0.39633605402534905,11.205618912822088,6.502045647642842e-28,5.480295617298967e-27,0.39633605402534905,higher_in_deaths,True
FiO2_missing,Respiratory,train,6878,1122,0.3422823164023363,0.19607843137254902,0.0,0.0,-0.3342674980314499,-11.105831266708437,1.0439893433008614e-27,8.495913276517355e-27,0.3342674980314499,higher_in_survivors,True
Urine_std,Renal,train,6878,1122,126.86838045091741,90.46391493509923,108.97873601446639,67.0748920861709,-0.3424007011000148,-10.995726313085182,3.697767773948759e-27,2.9089106488396906e-26,0.3424007011000148,higher_in_survivors,True
Urine_min,Renal,train,6878,1122,25.887037558926153,15.644580379520969,15.0,10.0,-0.25165340950558635,-10.845346224230324,5.863326908485838e-27,4.4636940335569604e-26,0.25165340950558635,higher_in_survivors,True
Lactate_count,Metabolic,train,6878,1122,1.8556266356498983,3.3172905525846703,1.0,2.0,0.3924883644986756,10.895948150908897,1.6132390972780092e-26,1.1897638342425319e-25,0.3924883644986756,higher_in_deaths,True
Urine_median,Renal,train,6878,1122,106.62722069644857,70.4531524729158,80.0,50.0,-0.3420294017494436,-10.747348740347475,4.994976599594828e-26,3.572165083346604e-25,0.3420294017494436,higher_in_survivors,True
BUN_count,Renal,train,6878,1122,3.3806339052050016,4.0597147950089125,3.0,4.0,0.37253644717575346,10.529586397637665,5.86371458250736e-25,4.07010776903452e-24,0.37253644717575346,higher_in_deaths,True
Creatinine_count,Renal,train,6878,1122,3.3982262285548126,4.072192513368984,3.0,4.0,0.36889287961932304,10.456341084919911,1.1916510985405334e-24,8.035133121587597e-24,0.36889287961932304,higher_in_deaths,True
GCS_min,Neurological,train,6878,1122,8.500996310490669,7.0648781567119165,8.0,6.0,-0.3153113162783576,-10.27567815414199,4.814699409206024e-24,3.156302946035061e-23,0.3153113162783576,higher_in_survivors,True
Mg_count,Metabolic,train,6878,1122,3.323495202093632,3.971479500891266,3.0,4.0,0.3446195699392164,10.003476451448874,8.657680714931298e-23,5.522196347902125e-22,0.3446195699392164,higher_in_deaths,True
Urine_max,Renal,train,6878,1122,638.3932176572573,451.96065761139903,500.0,321.0,-0.3137735122731774,-9.740613652385452,8.730750484412569e-22,5.4222555640035956e-21,0.3137735122731774,higher_in_survivors,True
Creatinine_last,Renal,train,6878,1122,1.2776641554105417,1.736513432322629,0.9,1.2,0.325579806458154,9.623573476613922,2.825346604472135e-21,1.7096969196292922e-20,0.325579806458154,higher_in_deaths,True
Lactate_last,Metabolic,train,6878,1122,1.8657385917572566,2.541968304747175,1.960579809004093,1.960579809004093,0.3830450538645792,9.497372690427389,1.1773380075515384e-20,6.946294244554077e-20,0.3830450538645792,higher_in_deaths,True
Lactate_mean,Metabolic,train,6878,1122,2.26470510345763,2.893609297978193,2.352908916739139,2.352908916739139,0.365472488534543,9.29626594580752,6.722293585188905e-20,3.8694177709867843e-19,0.365472488534543,higher_in_deaths,True
HCO3_max,Metabolic,train,6878,1122,25.64631342860176,24.243536425819794,25.449573953961597,24.0,-0.31942362857330625,-9.26560078713003,7.249221586889717e-20,4.073372129776127e-19,0.31942362857330625,higher_in_survivors,True
Lactate_max,Metabolic,train,6878,1122,2.999402519927309,3.9237697251789223,3.129045020463848,3.129045020463848,0.35278526356797585,9.134663740004058,2.680970625686347e-19,1.4714164364232044e-18,0.35278526356797585,higher_in_deaths,True
Creatinine_max,Renal,train,6878,1122,1.4669166384986783,1.9519070821683542,1.0,1.4,0.29986194913175385,9.065693262436447,3.904251200810644e-19,2.094098371343891e-18,0.29986194913175385,higher_in_deaths,True
Lactate_median,Metabolic,train,6878,1122,2.2111187288268837,2.822180523435138,2.296820145520692,2.296820145520692,0.3541522750252364,9.000208164335257,8.705593785141113e-19,4.565600296207339e-18,0.3541522750252364,higher_in_deaths,True
Creatinine_mean,Renal,train,6878,1122,1.2913661261839593,1.6992120371400818,0.9,1.225,0.29302033647357933,8.823489964726848,3.137310556164586e-18,1.6095767201192222e-17,0.29302033647357933,higher_in_deaths,True
HR_max,Cardiovascular,train,6878,1122,111.4644107405017,118.40374548932655,110.0,117.0,0.29576479313958,8.677482418652316,1.1086576284529736e-17,5.566876602444719e-17,0.29576479313958,higher_in_deaths,True
PaO2_first,Respiratory,train,6878,1122,206.86961304762977,177.18016445135322,202.705667882002,156.5,-0.2784604007348636,-8.640520623020992,1.4023454273910894e-17,6.894865018006189e-17,0.2784604007348636,higher_in_survivors,True
Creatinine_median,Renal,train,6878,1122,1.2900165945123345,1.6921440819059512,0.9,1.2,0.28674339828614326,8.631759220535809,1.5698662318427477e-17,7.560988381936499e-17,0.28674339828614326,higher_in_deaths,True
PaO2_mean,Respiratory,train,6878,1122,149.272357413371,135.81653727135193,147.38517863845283,132.41666666666669,-0.27538728476276536,-8.600103977413136,1.9465531859691167e-17,9.18773103777423e-17,0.27538728476276536,higher_in_survivors,True
Urine_total,Renal,train,6878,1122,4420.441968615686,3236.8707305608073,4158.0,2586.0,-0.321982777631669,-8.605236487424058,2.2511754220953393e-17,1.0417203914009806e-16,0.321982777631669,higher_in_survivors,True
PaO2_median,Respiratory,train,6878,1122,135.64993383909712,123.0939887872466,133.88896254557508,118.0,-0.26707436605028084,-8.483316619493642,4.998342504475263e-17,2.26847852126185e-16,0.26707436605028084,higher_in_survivors,True
Creatinine_min,Renal,train,6878,1122,1.1184991505321904,1.45602794140268,0.8,1.0,0.2814573856479548,8.439129982096278,7.703792392745518e-17,3.430367933373476e-16,0.2814573856479548,higher_in_deaths,True
Glucose_max,Metabolic,train,6878,1122,169.66748365193664,194.68307251329585,151.0,172.0,0.28228733043934356,8.340022758162117,1.7491123802239164e-16,7.644268920978598e-16,0.28228733043934356,higher_in_deaths,True
PaO2_std,Respiratory,train,6878,1122,64.463136810314,55.488090821598725,63.20438661039668,59.282242068776824,-0.2667411652299099,-8.260236805679193,3.1512521766231265e-16,1.3521736612419232e-15,0.2667411652299099,higher_in_survivors,True
n_rows_total,Measurement / missingness,train,6878,1122,434.92759523117184,471.5534759358289,425.0,451.0,0.2750040806112182,8.224860606956273,4.3429463260625715e-16,1.8302416659835124e-15,0.2750040806112182,higher_in_deaths,True
n_valid_values,Measurement / missingness,train,6878,1122,434.3658040127944,470.98217468805706,424.0,450.5,0.2744478564918391,8.210460694693783,4.868997883672063e-16,2.01593596587124e-15,0.2744478564918391,higher_in_deaths,True
MechVent_missing,Respiratory,train,6878,1122,0.3856778300587278,0.26827094474153296,0.0,0.0,-0.2522975139442775,-8.111191101256392,9.899638182040784e-16,4.028128639589009e-15,0.2522975139442775,higher_in_survivors,True
Lactate_min,Metabolic,train,6878,1122,1.6616488914639227,2.0416922839663796,1.7149499772623922,1.7149499772623922,0.3163287533125959,8.111727254410562,1.2236309152103856e-15,4.8945236608415425e-15,0.3163287533125959,higher_in_deaths,True
Mg_last,Metabolic,train,6878,1122,2.0334889220315935,2.118456908323513,2.0,2.1,0.26196254063247787,7.8863384182668135,6.09576362123421e-15,2.3976670243521225e-14,0.26196254063247787,higher_in_deaths,True
Glucose_mean,Metabolic,train,6878,1122,135.9113926203256,146.60239856818478,129.1547619047619,139.85714285714286,0.26132759210244333,7.807689658635984,1.1194759020617923e-14,4.3310870965013604e-14,0.26132759210244333,higher_in_deaths,True
HR_std,Cardiovascular,train,6878,1122,9.940247746263992,11.240630035799493,9.099905552687657,10.138270857081908,0.26236541767918187,7.700961080252074,2.5453805013343624e-14,9.688867714756606e-14,0.26236541767918187,higher_in_deaths,True
NIMAP_last,Cardiovascular,train,6878,1122,77.4572195642107,73.62276207628582,76.91943690152924,74.33,-0.25656489984062797,-7.675688175665523,3.029372206208277e-14,1.1348124455002433e-13,0.25656489984062797,higher_in_survivors,True
Creatinine_first,Renal,train,6878,1122,1.300592693838812,1.657578110154999,0.9,1.2,0.24782955350366387,7.663544527840579,3.2281953333907666e-14,1.190397029187845e-13,0.24782955350366387,higher_in_deaths,True
Lactate_first,Metabolic,train,6878,1122,2.527279217760168,3.1157755287405795,2.6098158253751707,2.6098158253751707,0.29143826371193404,7.664469977079477,3.627568671942578e-14,1.3170864716591512e-13,0.29143826371193404,higher_in_deaths,True
Glucose_median,Metabolic,train,6878,1122,132.36006625613643,142.2994942676274,126.5,136.0,0.2544405558377624,7.545496532959943,8.030263126626683e-14,2.871427421036208e-13,0.2544405558377624,higher_in_deaths,True
PaO2_count,Respiratory,train,6878,1122,5.552922361151498,6.99554367201426,4.0,6.0,0.24670303863011683,7.434192207365941,1.7944758945894267e-13,6.32084046452395e-13,0.24670303863011683,higher_in_deaths,True
PaCO2_count,Respiratory,train,6878,1122,5.564989822622856,7.002673796791444,4.0,6.0,0.24549696116433864,7.402598161314158,2.256899852927402e-13,7.832770077806866e-13,0.24549696116433864,higher_in_deaths,True
Urine_first,Renal,train,6878,1122,382.80388732527535,277.4572591963341,240.0,150.0,-0.22007291992739642,-7.375635111866327,2.5345677460149566e-13,8.668956348688836e-13,0.22007291992739642,higher_in_survivors,True
Glucose_last,Metabolic,train,6878,1122,127.17587045721784,138.06294319007486,121.0,130.0,0.24597461054859515,7.347915510690377,3.3738568409852253e-13,1.1374717349607332e-12,0.24597461054859515,higher_in_deaths,True
NIMAP_min,Cardiovascular,train,6878,1122,59.97259516509443,56.57154666871491,59.4955981134772,57.33,-0.24542369034902667,-7.310065704747508,4.437857691059177e-13,1.4751188944929094e-12,0.24542369034902667,higher_in_survivors,True
NIDiasABP_last,Cardiovascular,train,6878,1122,58.105910512763124,54.60706784694114,57.61519782888159,55.5,-0.24021547860662948,-7.252358662888279,6.643948934928885e-13,2.1777388175600234e-12,0.24021547860662948,higher_in_survivors,True
WBC_count,Hematologic,train,6878,1122,3.1858098284384995,3.645276292335116,3.0,3.0,0.2561793654020105,7.240217920867193,7.553174022051763e-13,2.4418480400057755e-12,0.2561793654020105,higher_in_deaths,True
HCO3_first,Metabolic,train,6878,1122,23.34787542051644,22.146967237289743,23.0,22.0,-0.23964690919789952,-6.966888906178374,5.0059962843005e-12,1.5965069231012405e-11,0.23964690919789952,higher_in_survivors,True
PaCO2_min,Respiratory,train,6878,1122,34.857504086489755,33.156508956222396,34.618939519469755,33.0,-0.23099553475751997,-6.694040430083092,3.1557340468164137e-11,9.930043133982315e-11,0.23099553475751997,higher_in_survivors,True
SysABP_min,Cardiovascular,train,6878,1122,79.63741273294325,73.44032333400058,78.76827094474153,78.76827094474153,-0.2240536844717449,-6.6526622844578664,4.101006220267855e-11,1.273470352609492e-10,0.2240536844717449,higher_in_survivors,True
WBC_last,Hematologic,train,6878,1122,11.966533591300047,13.905716591825755,11.1,12.3,0.23850248960407153,6.628185662455734,4.9605811845923255e-11,1.520385921511414e-10,0.23850248960407153,higher_in_deaths,True
DiasABP_min,Cardiovascular,train,6878,1122,40.5449272500245,37.44879845958801,40.110695187165774,40.110695187165774,-0.21958356704004048,-6.5923064559022375,6.064062205956019e-11,1.8347675392379748e-10,0.21958356704004048,higher_in_survivors,True
NISysABP_min,Cardiovascular,train,6878,1122,91.48993060890507,85.7887810690469,90.69034438593997,89.0,-0.21677271299676568,-6.553685004443237,7.776792764012021e-11,2.323193787730173e-10,0.21677271299676568,higher_in_survivors,True
NIDiasABP_min,Cardiovascular,train,6878,1122,40.58399024457064,37.70941673471144,40.18083130981288,39.0,-0.21263271349319207,-6.449519544606695,1.5221758856380103e-10,4.49041886263213e-10,0.21263271349319207,higher_in_survivors,True
PaCO2_median,Respiratory,train,6878,1122,40.252639733858395,38.56766094100516,40.01632145816073,38.0,-0.22511782145605702,-6.4445454594856555,1.609200800317626e-10,4.682244598089889e-10,0.22511782145605702,higher_in_survivors,True
HR_count,Cardiovascular,train,6878,1122,56.646408839779006,60.18716577540107,55.0,57.0,0.21472691649357717,6.439883064910948,1.626881597641402e-10,4.682244598089889e-10,0.21472691649357717,higher_in_deaths,True
PaO2_max,Respiratory,train,6878,1122,250.2124648316899,228.28560261902695,247.13722240636395,226.0,-0.20644159124687808,-6.400794921935638,2.0594325685917824e-10,5.855735978164586e-10,0.20644159124687808,higher_in_survivors,True
MAP_min,Cardiovascular,train,6878,1122,58.27558478233565,55.21398255297442,57.846195069667736,57.846195069667736,-0.21020021535898004,-6.379430237864358,2.380489548150271e-10,6.609359216040752e-10,0.21020021535898004,higher_in_survivors,True
static_ICUType,Static / demographic,train,6878,1122,2.756033730735679,2.9536541889483066,3.0,3.0,0.2002344595866423,6.37714764574232,2.366896824410629e-10,6.609359216040752e-10,0.2002344595866423,higher_in_deaths,True
pH_count,Metabolic,train,6878,1122,5.84704856062809,7.098039215686274,5.0,6.0,0.20896175148101892,6.360950963788636,2.67330479069814e-10,7.25172334028461e-10,0.20896175148101892,higher_in_deaths,True
Creatinine_std,Renal,train,6878,1122,0.17022811134811916,0.2259525085687331,0.1,0.132650647852569,0.20264483263464225,6.318188301368882,3.468935745408099e-10,9.303054953594448e-10,0.20264483263464225,higher_in_deaths,True
HR_mean,Cardiovascular,train,6878,1122,86.68719395512258,90.01296204133718,86.21483516483516,89.35104364326375,0.21453571825903492,6.308623688341862,3.769519018278014e-10,9.995578520377656e-10,0.21453571825903492,higher_in_deaths,True
Glucose_std,Metabolic,train,6878,1122,32.09292094536292,39.75187306552357,23.96525262402492,29.837736109649256,0.20181378250389517,6.139319200694433,1.0651891144996178e-09,2.7624684727682396e-09,0.20181378250389517,higher_in_deaths,True
Platelets_count,Hematologic,train,6878,1122,3.4943297470194823,3.9385026737967914,3.0,3.0,0.2062418032182753,5.834698950775431,6.757850756531118e-09,1.644178122207571e-08,0.2062418032182753,higher_in_deaths,True
PaCO2_mean,Respiratory,train,6878,1122,40.559964456637,39.04816667962663,40.34793481841129,38.8,-0.20178988586258553,-5.7774522044889505,9.401751338320037e-09,2.2640952202484988e-08,0.20178988586258553,higher_in_survivors,True
